id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
15041,6,CAM001,219,0.8217051029205322,14360,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:57.655049,244.0,143.0,403.0,337.0
15040,6,CAM001,219,0.7371222972869873,14355,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:56.629454,225.0,158.0,385.0,320.0
15039,6,CAM001,219,0.8,14345,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:54.697842,247.0,148.0,378.0,331.0
15038,6,CAM001,219,0.8904814720153809,14340,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:53.678134,279.0,157.0,371.0,323.0
15037,6,CAM001,219,0.8883866667747498,14335,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:52.667027,315.0,195.0,334.0,284.0
15036,6,CAM001,219,0.7393938302993774,14330,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:51.677270,327.0,204.0,341.0,275.0
15035,6,CAM001,219,0.7790279984474182,14325,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:50.756492,319.0,203.0,350.0,276.0
15034,6,CAM001,219,0.8492249846458435,14320,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:49.752421,217.0,173.0,411.0,307.0
15033,6,CAM001,219,0.8114263415336609,14315,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:48.730349,213.0,187.0,399.0,293.0
15032,6,CAM001,219,0.79944908618927,14310,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:47.684542,221.0,187.0,398.0,293.0
15031,6,CAM001,219,0.8047751188278198,14305,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:46.631594,222.0,187.0,397.0,293.0
15030,6,CAM001,219,0.7787923812866211,14300,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:45.549838,213.0,184.0,399.0,296.0
15029,6,CAM001,218,0.7593335509300232,14265,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:38.975543,242.0,192.0,377.0,288.0
15028,6,CAM001,218,0.795454204082489,14260,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:37.942708,235.0,181.0,385.0,299.0
15027,6,CAM001,218,0.8186842203140259,14255,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:36.889634,259.0,175.0,394.0,305.0
15026,6,CAM001,216,0.7679504752159119,14235,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:33.264474,271.0,173.0,357.0,307.0
15025,6,CAM001,216,0.8,14230,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:32.276879,300.0,177.0,352.0,302.0
15024,6,CAM001,211,0.7752664685249329,14150,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:17.711027,217.0,158.0,444.0,321.0
15023,6,CAM001,211,0.8746278285980225,14145,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:16.686802,242.0,198.0,393.0,280.0
15022,6,CAM001,211,0.8928632140159607,14140,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:15.656638,250.0,201.0,386.0,277.0
15021,6,CAM001,211,0.8760395050048828,14135,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:14.650767,246.0,200.0,383.0,279.0
15020,6,CAM001,211,0.8973186016082764,14130,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:13.618340,246.0,208.0,364.0,272.0
15019,6,CAM001,211,0.8997179269790649,14125,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:12.587663,262.0,206.0,345.0,273.0
15018,6,CAM001,211,0.7519850134849548,14120,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:11.539509,258.0,174.0,367.0,305.0
15017,6,CAM001,211,0.869708776473999,14115,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:10.454521,261.0,157.0,385.0,322.0
15016,6,CAM001,208,0.8,14085,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:04.869219,240.0,164.0,404.0,316.0
15015,6,CAM001,208,0.7743473052978516,14080,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:03.858020,234.0,159.0,415.0,320.0
15014,6,CAM001,208,0.7463235259056091,14075,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:02.830054,223.0,157.0,425.0,323.0
15013,6,CAM001,208,0.8457304835319519,14070,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:01.732487,239.0,179.0,408.0,301.0
15012,6,CAM001,208,0.8665915727615356,14065,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:00.696838,253.0,197.0,390.0,282.0
15011,6,CAM001,208,0.8783662915229797,14060,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:59.677327,266.0,210.0,374.0,270.0
